variable,group,value
1294,clbH,0
1294,clbI,0
1294,clbJ,0
1294,clbK,0
1294,clbL,0
1294,clbM,0
1294,clbN,0
1294,clbO,0
1294,clbP,0
1294,clbQ,0
1294,clbS,0
1294,clpV/tssH,0
1294,galF,0
1294,kpsD,0
1294,kpsM,0
1294,kpsT,0
1294,papA,0
1294,papB,0
1294,papC,0
1294,papD,0
1294,papE,0
1294,papF,0
1294,papG,0
1294,papH,0
1294,papI,0
1294,papJ,0
1294,papK,0
1294,papX,0
1294,tcpC,0
1294,vat,0
1294,vgrG/tssI,0
1294,vipB/tssC,0
1294,ADP,0
1294,cesF,0
1294,clpB,0
1294,espH,0
1294,espJ,0
1294,espM2,0
1294,espR3,0
1294,espR4,0
1294,espW,0
1294,espX2,0
1294,espX6,0
1294,espY2,0
1294,espY3,0
1294,espY4,0
1294,nleB2,0
1294,nleD,0
1294,nleH1,0
1294,sat,0
1294,shuA,0
1294,shuS,0
1294,shuT,0
1294,shuU,0
1294,shuV,0
1294,shuX,0
1294,shuY,0
1294,stcE,0
1294,stx1A,0
1294,stx2A,0
1294,stx2B,0
1294,tir,0
1294,toxB,0
1294,manB,0
1294,manC,0
1058,acrA,1
1058,acrB,1
1058,allB,1
1058,aslA,1
1058,cesAB,1
1058,cesD,1
1058,cesD2,1
1058,cesL,1
1058,cesT,1
1058,csgB,1
1058,eae,1
1058,east1,1
1058,efa1,1
1058,entB,1
1058,entC,1
1058,entD,1
1058,entE,1
1058,entF,1
